Tag	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene	pct.diff
ARHGAP30	0	0.51103461533076	0.5	0.119	0	Monocytes/macrophages	ARHGAP30	0.381
MS4A6A	0	0.510959565080645	0.562	0.191	0	Monocytes/macrophages	MS4A6A	0.371
ATOX1	0	0.510906457658289	0.62	0.296	0	Monocytes/macrophages	ATOX1	0.324
SKAP2	0	0.509905649616158	0.69	0.331	0	Monocytes/macrophages	SKAP2	0.359
DDX60L	0	0.507771104179695	0.437	0.131	0	Monocytes/macrophages	DDX60L	0.306
CD86	0	0.506850256365093	0.584	0.157	0	Monocytes/macrophages	CD86	0.427
CD99	0	0.506602656314562	0.565	0.27	0	Monocytes/macrophages	CD99	0.295
RNF130	0	0.505696337484065	0.537	0.195	0	Monocytes/macrophages	RNF130	0.342
ATP6V0D2	0	0.504147017210069	0.283	0.019	0	Monocytes/macrophages	ATP6V0D2	0.264
RAB31	0	0.502950878636891	0.8	0.414	0	Monocytes/macrophages	RAB31	0.386
LINC01094	0	0.502913828529584	0.353	0.042	0	Monocytes/macrophages	LINC01094	0.311
SPARC	0	0.502806378714792	0.427	0.06	0	Monocytes/macrophages	SPARC	0.367
ATP6V1B2	0	0.502363152281025	0.416	0.094	0	Monocytes/macrophages	ATP6V1B2	0.322
LY96	0	0.501977568674113	0.482	0.127	0	Monocytes/macrophages	LY96	0.355
S100A10	0	0.501337954026277	0.966	0.841	0	Monocytes/macrophages	S100A10	0.125
ALDH2	8.85603224428525e-307	0.553892462112053	0.756	0.561	2.30008869448577e-302	Monocytes/macrophages	ALDH2	0.195
GBP1	3.77756012839276e-293	0.530953479552897	0.439	0.174	9.81107916546168e-289	Monocytes/macrophages	GBP1	0.265
CXCL3	6.66903704319817e-288	0.860111204974242	0.347	0.116	1.73208230085943e-283	Monocytes/macrophages	CXCL3	0.231
MARCKS	1.09018185884415e-165	0.587306399626448	0.473	0.293	2.83142032379002e-161	Monocytes/macrophages	MARCKS	0.18
SPP1	4.01645017183613e-123	1.56473972326982	0.434	0.299	1.04315243862928e-118	Monocytes/macrophages	SPP1	0.135
LGMN	2.52772184685481e-101	0.642809152697434	0.449	0.331	6.56499918065131e-97	Monocytes/macrophages	LGMN	0.118
TPSB2	0	4.06914673268409	0.977	0.081	0	Mast_cells	TPSB2	0.896
CPA3	0	3.50242176532192	0.943	0.028	0	Mast_cells	CPA3	0.915
TPSAB1	0	3.07724654133263	0.925	0.02	0	Mast_cells	TPSAB1	0.905
MS4A2	0	2.10776855238971	0.828	0.011	0	Mast_cells	MS4A2	0.817
KIT	0	1.39218207243156	0.655	0.019	0	Mast_cells	KIT	0.636
SLC18A2	0	1.33502069135881	0.586	0.011	0	Mast_cells	SLC18A2	0.575
GATA2	0	1.28485923841924	0.546	0.005	0	Mast_cells	GATA2	0.541
IL1RL1	0	1.27058619337845	0.483	0.004	0	Mast_cells	IL1RL1	0.479
RHEX	0	1.19794035360405	0.546	0.004	0	Mast_cells	RHEX	0.542
CALB2	0	0.969198801447648	0.356	0.003	0	Mast_cells	CALB2	0.353
RGS13	0	0.916783881121731	0.351	0.004	0	Mast_cells	RGS13	0.347
NTM	0	0.736347412930067	0.293	0.002	0	Mast_cells	NTM	0.291
GCSAML	0	0.701181579243209	0.264	0.002	0	Mast_cells	GCSAML	0.262
VWA5A	1.60639228948255e-83	1.20021233748588	0.626	0.15	4.17212205424409e-79	Mast_cells	VWA5A	0.476
HPGDS	6.45920451470741e-55	1.01750899951568	0.58	0.174	1.67758459655981e-50	Mast_cells	HPGDS	0.406
LTC4S	3.60841581688419e-53	0.892630995495302	0.408	0.086	9.37177755961162e-49	Mast_cells	LTC4S	0.322
RGS2	3.24500188802248e-49	1.12299919842346	0.695	0.247	8.42791890357199e-45	Mast_cells	RGS2	0.448
HPGD	1.11167197243946e-46	0.962928149275646	0.701	0.271	2.88723444681977e-42	Mast_cells	HPGD	0.43
CD69	1.5296858869106e-44	1.49389876531122	0.615	0.221	3.97290018548422e-40	Mast_cells	CD69	0.394
RAB27B	5.59127038033881e-42	0.502550861112903	0.27	0.049	1.4521647431816e-37	Mast_cells	RAB27B	0.221
RGS1	7.89116224381483e-38	1.01039441459645	0.874	0.451	2.04949265796359e-33	Mast_cells	RGS1	0.423
CAVIN2	4.64466869442451e-35	0.670279813347864	0.379	0.101	1.20631335331593e-30	Mast_cells	CAVIN2	0.278
CLU	2.0531374459162e-34	0.615802718909364	0.695	0.262	5.33240857453355e-30	Mast_cells	CLU	0.433
SAMSN1	7.80164003740301e-27	0.766237748568546	0.563	0.252	2.02624195051431e-22	Mast_cells	SAMSN1	0.311
ACSL4	5.71908327031245e-26	0.844852679174519	0.563	0.26	1.48536030696555e-21	Mast_cells	ACSL4	0.303
NR4A1	2.60078326811789e-24	0.739784610041862	0.397	0.142	6.7547543039558e-20	Mast_cells	NR4A1	0.255
PTGS2	2.67286095520402e-22	0.66825663346249	0.287	0.086	6.94195447285589e-18	Mast_cells	PTGS2	0.201
ARHGEF6	2.95046196528038e-21	0.512449649832972	0.316	0.105	7.6629398162262e-17	Mast_cells	ARHGEF6	0.211
H3F3B	5.88360482817482e-21	0.589300245537653	0.983	0.943	1.52808984597356e-16	Mast_cells	H3F3B	0.04
CNRIP1	7.19732979490508e-21	0.58511300250349	0.299	0.097	1.86929049433275e-16	Mast_cells	CNRIP1	0.202
FOSB	1.73110011001435e-16	0.691402390954568	0.477	0.238	4.49601320572926e-12	Mast_cells	FOSB	0.239
ZFP36	3.70151909436077e-16	0.503919213936408	0.753	0.505	9.61358539187379e-12	Mast_cells	ZFP36	0.248
LMO4	7.27933972601033e-15	0.745252150289949	0.621	0.418	1.8905901136394e-10	Mast_cells	LMO4	0.203
NFKBIA	7.27580979593522e-14	0.611677954535125	0.931	0.834	1.8896733202003e-09	Mast_cells	NFKBIA	0.0970000000000001
NFKBIZ	2.9200397275718e-13	0.756499552173483	0.552	0.332	7.58392718044947e-09	Mast_cells	NFKBIZ	0.22
FOS	3.20167363649216e-13	0.591503699088351	0.902	0.834	8.31538676869743e-09	Mast_cells	FOS	0.0680000000000001
DUSP1	9.5065673983411e-13	0.519893665075888	0.862	0.719	2.46904568469715e-08	Mast_cells	DUSP1	0.143
SLC2A3	1.63143090693162e-12	0.549499466929277	0.374	0.179	4.23715235148281e-08	Mast_cells	SLC2A3	0.195
HSPA1A	2.58104321944898e-11	0.529951398190201	0.874	0.698	6.70348544955289e-07	Mast_cells	HSPA1A	0.176
EGR1	3.13613202525797e-11	0.506277632527661	0.598	0.396	8.145162096e-07	Mast_cells	EGR1	0.202
DNAJB1	6.98005876948845e-11	0.54285294676056	0.701	0.511	1.81286086361154e-06	Mast_cells	DNAJB1	0.19
KLF6	1.48562672789318e-10	0.549594526414208	0.839	0.706	3.85846973768418e-06	Mast_cells	KLF6	0.133
BTG2	2.86974927054577e-10	0.603534381360972	0.489	0.316	7.45331280546146e-06	Mast_cells	BTG2	0.173
PPP1R15A	1.09197420009348e-07	0.583842846981248	0.592	0.441	0.00283607539248278	Mast_cells	PPP1R15A	0.151
S100B	0	2.229243613902	0.367	0.042	0	Myeloid dendritic cell	S100B	0.325
FCER1A	0	1.59681002110582	0.337	0.016	0	Myeloid dendritic cell	FCER1A	0.321
RGS11	0	1.56961654326899	0.834	0.42	0	Myeloid dendritic cell	RGS1	0.414
GPR183	0	1.55943375330964	0.622	0.174	0	Myeloid dendritic cell	GPR183	0.448
CD1C	0	1.55134059062875	0.433	0.022	0	Myeloid dendritic cell	CD1C	0.411
CD1A	0	1.52718826927151	0.262	0.012	0	Myeloid dendritic cell	CD1A	0.25
PKIB	0	1.28997081981875	0.431	0.06	0	Myeloid dendritic cell	PKIB	0.371
CD1E	0	1.09286210960853	0.321	0.012	0	Myeloid dendritic cell	CD1E	0.309
HLA-DPB1	0	0.847351467046692	0.985	0.885	0	Myeloid dendritic cell	HLA-DPB1	0.1
RGS21	8.36664972921613e-293	1.37684245703648	0.57	0.222	2.17298626767201e-288	Myeloid dendritic cell	RGS2	0.348
FOS1	3.40770089413704e-285	1.00809324581489	0.924	0.827	8.85048076225272e-281	Myeloid dendritic cell	FOS	0.0970000000000001
CST31	9.95146946646614e-275	0.799528658285644	0.987	0.951	2.58459564983059e-270	Myeloid dendritic cell	CST3	0.036
CD741	1.01962295528193e-265	0.535979952536642	0.999	0.991	2.64816473945823e-261	Myeloid dendritic cell	CD74	0.00800000000000001
CCL3L1	5.25549310127899e-254	1.77766713901825	0.577	0.245	1.36495666826418e-249	Myeloid dendritic cell	CCL3L1	0.332
FCGBP	1.2549679063796e-236	1.40222427967228	0.296	0.065	3.25940264644909e-232	Myeloid dendritic cell	FCGBP	0.231
HLA-DQB11	4.26367725049789e-231	0.64204671141428	0.974	0.88	1.10736225549931e-226	Myeloid dendritic cell	HLA-DQB1	0.094
MS4A6A1	5.76340869929599e-224	0.913812983399447	0.698	0.381	1.49687250738116e-219	Myeloid dendritic cell	MS4A6A	0.317
RGS10	1.62906775165642e-218	0.848071768077992	0.65	0.36	4.23101476460205e-214	Myeloid dendritic cell	RGS10	0.29
HLA-DPA11	3.504524936446e-218	0.559410600542801	0.991	0.915	9.10195216493756e-214	Myeloid dendritic cell	HLA-DPA1	0.076
PAK1	8.2822139533909e-216	0.989124592154257	0.63	0.366	2.15105660797469e-211	Myeloid dendritic cell	PAK1	0.264
NR4A2	2.04901677940947e-212	1.22578929131032	0.41	0.138	5.32170637948226e-208	Myeloid dendritic cell	NR4A2	0.272
CORO1A	1.11619935598355e-203	0.684504381318689	0.35	0.101	2.89899296736047e-199	Myeloid dendritic cell	CORO1A	0.249
CCL3	1.05265237293301e-190	1.31608561691586	0.637	0.346	2.7339487429816e-186	Myeloid dendritic cell	CCL3	0.291
ACTB1	3.14770954846447e-188	0.566509273502982	0.997	0.978	8.17523123927192e-184	Myeloid dendritic cell	ACTB	0.019
LTB	6.95517141540257e-188	1.41661883408318	0.303	0.085	1.80639712000835e-183	Myeloid dendritic cell	LTB	0.218
NFKBIA1	4.261828724295e-186	0.932489777854023	0.919	0.827	1.1068821562739e-181	Myeloid dendritic cell	NFKBIA	0.0920000000000001
CCL4L2	5.33657902639044e-185	1.53470692174822	0.57	0.283	1.38601630473412e-180	Myeloid dendritic cell	CCL4L2	0.287
YWHAH	1.81845840068258e-184	0.82599537290791	0.726	0.531	4.72290015825279e-180	Myeloid dendritic cell	YWHAH	0.195
FGL2	5.10154829647155e-183	0.828994721756431	0.585	0.302	1.32497412355959e-178	Myeloid dendritic cell	FGL2	0.283
SH3KBP1	2.38515531638989e-181	0.812697966053049	0.635	0.384	6.19472538772783e-177	Myeloid dendritic cell	SH3KBP1	0.251
CKLF	1.49382014446648e-174	1.00040607833994	0.627	0.403	3.87974967920834e-170	Myeloid dendritic cell	CKLF	0.224
OGFRL1	3.8982937717421e-173	0.865714936146095	0.534	0.279	1.01246485839686e-168	Myeloid dendritic cell	OGFRL1	0.255
NAPSB	1.93056117069732e-171	0.879473445318889	0.383	0.144	5.01405347253509e-167	Myeloid dendritic cell	NAPSB	0.239
ZFP361	6.23724786454726e-171	0.97326142941631	0.691	0.49	1.61993801538021e-166	Myeloid dendritic cell	ZFP36	0.201
DUSP11	1.33674459537428e-169	0.804737494535916	0.833	0.71	3.47179306310608e-165	Myeloid dendritic cell	DUSP1	0.123
HSPA1B	1.12412093161083e-167	0.886093674140007	0.637	0.403	2.91956688357964e-163	Myeloid dendritic cell	HSPA1B	0.234
HLA-DQA11	3.01210288647184e-166	0.525479446388488	0.967	0.829	7.82303361674467e-162	Myeloid dendritic cell	HLA-DQA1	0.138
LST11	1.01167543952022e-165	0.856726418487312	0.752	0.509	2.62752345152191e-161	Myeloid dendritic cell	LST1	0.243
ATF3	7.29995308350733e-158	1.21683169338035	0.545	0.292	1.89594381484852e-153	Myeloid dendritic cell	ATF3	0.253
HSPA1A1	2.561170857114e-154	1.13490602798567	0.785	0.692	6.65187295009649e-150	Myeloid dendritic cell	HSPA1A	0.0930000000000001
IER2	5.43469407147158e-153	0.792941530259743	0.745	0.566	1.4114987442426e-148	Myeloid dendritic cell	IER2	0.179
AIF11	3.63334595223424e-152	0.565062248422489	0.903	0.668	9.43652610714277e-148	Myeloid dendritic cell	AIF1	0.235
KLF61	5.32934740555518e-152	0.818814098412559	0.815	0.697	1.38413810817079e-147	Myeloid dendritic cell	KLF6	0.118
JUN	5.3852880232877e-151	0.697188979875467	0.919	0.912	1.39866700540828e-146	Myeloid dendritic cell	JUN	0.00700000000000001
H3F3B1	2.37647053848887e-147	0.529402054017295	0.958	0.942	6.17216928256329e-143	Myeloid dendritic cell	H3F3B	0.016
JUNB	3.47847148102887e-146	0.761604642819297	0.754	0.619	9.03428613052818e-142	Myeloid dendritic cell	JUNB	0.135
BTG1	3.85096246765529e-139	0.725164487532441	0.835	0.783	1.00017197209943e-134	Myeloid dendritic cell	BTG1	0.0519999999999999
EGR11	5.46656613438954e-139	0.904372425303773	0.606	0.378	1.41977655642365e-134	Myeloid dendritic cell	EGR1	0.228
CXCR4	1.09985208456945e-132	0.917655313196088	0.514	0.287	2.85653583404377e-128	Myeloid dendritic cell	CXCR4	0.227
ID2	5.71929217477201e-128	0.796116574957974	0.837	0.733	1.48541456363179e-123	Myeloid dendritic cell	ID2	0.104
PNRC1	2.27897464116361e-127	0.742896513023231	0.805	0.726	5.91895293803013e-123	Myeloid dendritic cell	PNRC1	0.0790000000000001
IER3	2.39007323848681e-127	0.958510860082761	0.565	0.34	6.20749821499794e-123	Myeloid dendritic cell	IER3	0.225
IL1B	1.50612493979628e-124	1.49763502361943	0.413	0.198	3.91170769363891e-120	Myeloid dendritic cell	IL1B	0.215
C15orf48	3.95977060885623e-123	0.999378571186528	0.465	0.255	1.02843162253214e-118	Myeloid dendritic cell	C15orf48	0.21
MEF2C	2.47904759471209e-122	0.712693844427137	0.594	0.378	6.43858241298625e-118	Myeloid dendritic cell	MEF2C	0.216
CLEC5A	1.43422799999927e-119	0.674960138010372	0.35	0.148	3.7249769615981e-115	Myeloid dendritic cell	CLEC5A	0.202
CCL4	2.89927319564358e-118	1.26213233877158	0.49	0.261	7.52999234372551e-114	Myeloid dendritic cell	CCL4	0.229
BASP1	3.7114319870738e-117	0.631642366710643	0.277	0.096	9.63933115682808e-113	Myeloid dendritic cell	BASP1	0.181
MNDA1	6.19694478091537e-115	0.530006412462123	0.833	0.61	1.60947049849934e-110	Myeloid dendritic cell	MNDA	0.223
HLA-DQB2	9.95983283777747e-112	2.12861160118869	0.334	0.149	2.58676778462757e-107	Myeloid dendritic cell	HLA-DQB2	0.185
P2RY13	3.9282307082702e-111	0.787911914007486	0.431	0.229	1.02024007955194e-106	Myeloid dendritic cell	P2RY13	0.202
CSF1R	1.65861295427363e-110	0.679406165540389	0.513	0.311	4.30774956483946e-106	Myeloid dendritic cell	CSF1R	0.202
PEA15	8.06157175834997e-108	0.69711256218399	0.501	0.31	2.09375141707865e-103	Myeloid dendritic cell	PEA15	0.191
SGK1	7.95432229468961e-106	0.758866025515041	0.653	0.504	2.06589658637678e-101	Myeloid dendritic cell	SGK1	0.149
TNF	2.08747197724528e-105	0.901147640180234	0.309	0.127	5.42158221930144e-101	Myeloid dendritic cell	TNF	0.182
COTL11	1.32384722180321e-104	0.596687226455328	0.671	0.5	3.43829600446731e-100	Myeloid dendritic cell	COTL1	0.171
STK17B	3.25797093163465e-100	0.693107367206677	0.424	0.234	8.46160210364151e-96	Myeloid dendritic cell	STK17B	0.19
CD861	4.56102103817803e-100	0.59683410842295	0.577	0.391	1.1845883840356e-95	Myeloid dendritic cell	CD86	0.186
ITGA4	6.61060713969174e-100	0.620340126573049	0.336	0.153	1.71690688632074e-95	Myeloid dendritic cell	ITGA4	0.183
CXCL8	7.06912556122029e-100	1.15034269130354	0.418	0.22	1.83599329076013e-95	Myeloid dendritic cell	CXCL8	0.198
AP1S2	2.52666576969775e-96	0.637060617792399	0.551	0.362	6.56225633705901e-92	Myeloid dendritic cell	AP1S2	0.189
ANKRD22	1.66597581194126e-94	0.660081943505129	0.344	0.161	4.32687237877385e-90	Myeloid dendritic cell	ANKRD22	0.183
LPAR6	6.00807725579723e-93	0.71858917333901	0.494	0.313	1.56041782487566e-88	Myeloid dendritic cell	LPAR6	0.181
GLIPR1	2.11667398581637e-91	0.614329094461842	0.593	0.435	5.49742567596229e-87	Myeloid dendritic cell	GLIPR1	0.158
TAGAP	9.88170966786947e-90	0.566868732319885	0.26	0.104	2.56647763493906e-85	Myeloid dendritic cell	TAGAP	0.156
FCGR2B	3.47866367886895e-88	0.576041257326296	0.401	0.205	9.03478530675843e-84	Myeloid dendritic cell	FCGR2B	0.196
CXorf21	2.27723949692568e-86	0.637302335223898	0.32	0.153	5.91444642141536e-82	Myeloid dendritic cell	CXorf21	0.167
NR4A11	1.23239959655067e-85	0.68085263029669	0.294	0.131	3.2007882321614e-81	Myeloid dendritic cell	NR4A1	0.163
DNAJB11	6.07599755590989e-84	0.862223962969777	0.618	0.503	1.57805808522092e-79	Myeloid dendritic cell	DNAJB1	0.115
CD83	6.43917624894732e-83	0.771213000874086	0.472	0.311	1.6723828553766e-78	Myeloid dendritic cell	CD83	0.161
SERPINF1	3.30184013967616e-80	0.559900784041659	0.254	0.104	8.57553921076692e-76	Myeloid dendritic cell	SERPINF1	0.15
CLDN1	8.61054319600717e-78	0.750516079061674	0.295	0.139	2.23633027886698e-73	Myeloid dendritic cell	CLDN1	0.156
TRA2B	4.71995428963697e-77	0.663708174501805	0.576	0.464	1.22586652810451e-72	Myeloid dendritic cell	TRA2B	0.112
GADD45B	1.24114635520351e-76	0.666750835264793	0.673	0.567	3.22350531373455e-72	Myeloid dendritic cell	GADD45B	0.106
LSP1	4.04543600350032e-70	0.549353533674013	0.449	0.288	1.0506806388291e-65	Myeloid dendritic cell	LSP1	0.161
PPP1R15A1	1.23400101813799e-68	0.675032386663812	0.553	0.432	3.204947444308e-64	Myeloid dendritic cell	PPP1R15A	0.121
PLEKHO1	3.7762296051496e-65	0.527187073589606	0.334	0.185	9.80762353049453e-61	Myeloid dendritic cell	PLEKHO1	0.149
CMTM3	8.72674363007361e-65	0.528430005197343	0.526	0.381	2.26650985560272e-60	Myeloid dendritic cell	CMTM3	0.145
AC103591.3	1.17081058941624e-64	0.564744154638703	0.292	0.146	3.04082926283185e-60	Myeloid dendritic cell	AC103591.3	0.146
ZFP36L2	7.73798810893142e-64	0.52680070879315	0.684	0.62	2.00971027165167e-59	Myeloid dendritic cell	ZFP36L2	0.0640000000000001
IFI30	1.94260511147415e-63	0.577853902379132	0.259	0.123	5.04533399552067e-59	Myeloid dendritic cell	IFI30	0.136
EIF4A3	3.67486460344495e-62	0.865012223967118	0.565	0.487	9.54435834806721e-58	Myeloid dendritic cell	EIF4A3	0.078
RNASE6	4.33991697144542e-62	0.504537524323729	0.351	0.201	1.1271632358238e-57	Myeloid dendritic cell	RNASE6	0.15
PLEK1	2.01718326899249e-59	0.682114505209879	0.567	0.456	5.23902838622729e-55	Myeloid dendritic cell	PLEK	0.111
ATP2B1-AS1	1.13134679662775e-57	0.55721835145387	0.286	0.151	2.9383339002016e-53	Myeloid dendritic cell	ATP2B1-AS1	0.135
CCNL1	2.576872012123e-57	0.616257057135134	0.631	0.587	6.69265198988586e-53	Myeloid dendritic cell	CCNL1	0.044
FOSB1	3.03428846457164e-57	0.622524694403222	0.373	0.228	7.88065400018548e-53	Myeloid dendritic cell	FOSB	0.145
IFNGR1	9.69116802260522e-57	0.520172501959999	0.565	0.489	2.51699015883103e-52	Myeloid dendritic cell	IFNGR1	0.076
CD691	7.00826013134705e-56	0.637549359176252	0.355	0.213	1.82018532131346e-51	Myeloid dendritic cell	CD69	0.142
ARL4C	1.76298216424519e-54	0.513196311551434	0.297	0.159	4.57881727697761e-50	Myeloid dendritic cell	ARL4C	0.138
CSF2RA	1.0307428756937e-52	0.561110695589006	0.36	0.232	2.67704539675169e-48	Myeloid dendritic cell	CSF2RA	0.128
HERPUD1	1.1967114050509e-49	0.560807350384836	0.49	0.395	3.10809886119821e-45	Myeloid dendritic cell	HERPUD1	0.095
HSP90AA1	2.56781732408782e-47	0.537997257768078	0.974	0.984	6.66913515412088e-43	Myeloid dendritic cell	HSP90AA1	-0.01
FILIP1L	1.10817712987086e-45	0.637244423787926	0.297	0.177	2.87815764170061e-41	Myeloid dendritic cell	FILIP1L	0.12
NFKBIZ1	2.1698238715874e-45	0.799400170834747	0.433	0.325	5.6354665592868e-41	Myeloid dendritic cell	NFKBIZ	0.108
CDKN1A	1.36619313832813e-42	0.537331797866732	0.368	0.254	3.54827681886583e-38	Myeloid dendritic cell	CDKN1A	0.114
CPVL1	6.8348761306479e-41	0.627716006145797	0.526	0.44	1.77515402865187e-36	Myeloid dendritic cell	CPVL	0.086
BHLHE40	8.29802857424582e-38	0.561437296091382	0.366	0.267	2.15516398130312e-33	Myeloid dendritic cell	BHLHE40	0.099
HSPE1	1.33056700335384e-31	0.528395156877195	0.643	0.654	3.45574862111059e-27	Myeloid dendritic cell	HSPE1	-0.011
RIPK2	6.81865934352182e-30	0.579841530553735	0.34	0.254	1.77094220469949e-25	Myeloid dendritic cell	RIPK2	0.086
REL	2.95961196803363e-26	0.528381937274387	0.391	0.329	7.68670420337695e-22	Myeloid dendritic cell	REL	0.062
PTPRE	1.48664115369823e-22	0.560743858136125	0.421	0.373	3.86110440438505e-18	Myeloid dendritic cell	PTPRE	0.048
CHMP1B	1.05837902209992e-20	0.574572928480085	0.308	0.248	2.74882199619791e-16	Myeloid dendritic cell	CHMP1B	0.06
TWISTNB	3.00186691162693e-20	0.763581049352197	0.276	0.21	7.79644874287745e-16	Myeloid dendritic cell	TWISTNB	0.066
NAMPT	6.25942775785546e-20	0.653385695160998	0.332	0.278	1.62569857727022e-15	Myeloid dendritic cell	NAMPT	0.054
WDFY4	1.550313680449e-11	0.53506876214671	0.33	0.296	4.02647469086215e-07	Myeloid dendritic cell	WDFY4	0.034
INSIG1	4.98929116642897e-11	0.573518070593588	0.257	0.217	1.29581870174493e-06	Myeloid dendritic cell	INSIG1	0.04
SFTPB	0	3.23024427628089	0.96	0.463	0	cancer cell	SFTPB	0.497
SCGB3A2	0	3.00097916023115	0.843	0.421	0	cancer cell	SCGB3A2	0.422
SCGB3A1	0	2.94478942282408	0.893	0.656	0	cancer cell	SCGB3A1	0.237
WFDC2	0	2.63777367889311	0.968	0.222	0	cancer cell	WFDC2	0.746
CEACAM6	0	2.56946835921511	0.885	0.111	0	cancer cell	CEACAM6	0.774
SFTPA2	0	2.51648374376027	0.391	0.153	0	cancer cell	SFTPA2	0.238
NAPSA	0	2.35976513988729	0.887	0.199	0	cancer cell	NAPSA	0.688
CP	0	2.29794672212416	0.504	0.095	0	cancer cell	CP	0.409
PIGR	0	2.27898358054203	0.894	0.137	0	cancer cell	PIGR	0.757
SLC34A2	0	2.22168852004886	0.885	0.095	0	cancer cell	SLC34A2	0.79
SLPI	0	2.20666905561377	0.777	0.164	0	cancer cell	SLPI	0.613
SFTPA1	0	2.19068453098581	0.349	0.092	0	cancer cell	SFTPA1	0.257
EMP2	0	2.1137638103349	0.854	0.143	0	cancer cell	EMP2	0.711
AGR3	0	2.10600902745238	0.876	0.071	0	cancer cell	AGR3	0.805
MUC1	0	2.0536327550916	0.895	0.128	0	cancer cell	MUC1	0.767
TMC5	0	1.99066667075283	0.875	0.066	0	cancer cell	TMC5	0.809
SPINK1	0	1.95331100954173	0.259	0.06	0	cancer cell	SPINK1	0.199
EPCAM	0	1.93481841825034	0.883	0.069	0	cancer cell	EPCAM	0.814
CXCL14	0	1.93473228721079	0.417	0.073	0	cancer cell	CXCL14	0.344
C16orf89	0	1.92935607158487	0.779	0.089	0	cancer cell	C16orf89	0.69
CXCL17	0	1.90873931491718	0.836	0.082	0	cancer cell	CXCL17	0.754
KRT7	0	1.88145825472629	0.792	0.077	0	cancer cell	KRT7	0.715
AGR2	0	1.8414267384479	0.706	0.08	0	cancer cell	AGR2	0.626
MMP7	0	1.83447494001919	0.529	0.073	0	cancer cell	MMP7	0.456
ADGRF5	0	1.80404729734149	0.805	0.061	0	cancer cell	ADGRF5	0.744
SOX4	0	1.74685653014063	0.873	0.33	0	cancer cell	SOX4	0.543
CEACAM5	0	1.6592045365171	0.339	0.045	0	cancer cell	CEACAM5	0.294
KRT18	0	1.64811533474225	0.791	0.069	0	cancer cell	KRT18	0.722
DSTN	0	1.64091736871562	0.96	0.582	0	cancer cell	DSTN	0.378
STEAP4	0	1.61431145153336	0.728	0.049	0	cancer cell	STEAP4	0.679
CLU1	0	1.61187551054502	0.757	0.075	0	cancer cell	CLU	0.682
KRT8	0	1.5968455527635	0.776	0.081	0	cancer cell	KRT8	0.695
LMO7	0	1.5668831405848	0.758	0.074	0	cancer cell	LMO7	0.684
CLDN4	0	1.56620299083707	0.768	0.07	0	cancer cell	CLDN4	0.698
TACSTD2	0	1.54744916918985	0.846	0.109	0	cancer cell	TACSTD2	0.737
CYP4B1	0	1.51663247472051	0.677	0.052	0	cancer cell	CYP4B1	0.625
PGC	0	1.51248698213729	0.323	0.019	0	cancer cell	PGC	0.304
C4BPA	0	1.50902833051055	0.64	0.045	0	cancer cell	C4BPA	0.595
HOPX	0	1.5050295286268	0.734	0.065	0	cancer cell	HOPX	0.669
PTPN13	0	1.50259350727468	0.628	0.074	0	cancer cell	PTPN13	0.554
SYNE2	0	1.48877014782114	0.797	0.103	0	cancer cell	SYNE2	0.694
TSPAN1	0	1.48155042761995	0.592	0.043	0	cancer cell	TSPAN1	0.549
TM4SF1	0	1.47936262338716	0.68	0.052	0	cancer cell	TM4SF1	0.628
SFTA2	0	1.46979872636027	0.733	0.054	0	cancer cell	SFTA2	0.679
KRT19	0	1.46345043049857	0.702	0.054	0	cancer cell	KRT19	0.648
FOLR1	0	1.43884888494261	0.781	0.147	0	cancer cell	FOLR1	0.634
NKX2-1	0	1.39639430883879	0.722	0.037	0	cancer cell	NKX2-1	0.685
MT1E	0	1.38797604711799	0.684	0.079	0	cancer cell	MT1E	0.605
AREG	0	1.36025857326745	0.548	0.091	0	cancer cell	AREG	0.457
ANKRD36C	0	1.35348689198286	0.56	0.165	0	cancer cell	ANKRD36C	0.395
LIMCH1	0	1.32965969967527	0.701	0.044	0	cancer cell	LIMCH1	0.657
EPS8	0	1.32857038116419	0.741	0.156	0	cancer cell	EPS8	0.585
CIT	0	1.32006989178579	0.547	0.038	0	cancer cell	CIT	0.509
PTPRF	0	1.31436017616782	0.684	0.036	0	cancer cell	PTPRF	0.648
MSLN	0	1.30967112664846	0.36	0.059	0	cancer cell	MSLN	0.301
HPGD1	0	1.27172290724815	0.576	0.158	0	cancer cell	HPGD	0.418
NFIX	0	1.26765523071425	0.634	0.044	0	cancer cell	NFIX	0.59
MALAT1	0	1.24766330306421	1	1	0	cancer cell	MALAT1	0
ENAH	0	1.24587358102484	0.61	0.032	0	cancer cell	ENAH	0.578
ERBB3	0	1.22999493483066	0.648	0.031	0	cancer cell	ERBB3	0.617
RNASE1	0	1.22820363744468	0.932	0.434	0	cancer cell	RNASE1	0.498
CD55	0	1.21992843114207	0.745	0.3	0	cancer cell	CD55	0.445
ELF3	0	1.21556145297173	0.632	0.041	0	cancer cell	ELF3	0.591
TCIM	0	1.20938476856308	0.54	0.037	0	cancer cell	TCIM	0.503
DPP4	0	1.20119077192742	0.657	0.066	0	cancer cell	DPP4	0.591
MYO6	0	1.19848208853852	0.722	0.195	0	cancer cell	MYO6	0.527
MAL2	0	1.19752840814397	0.646	0.032	0	cancer cell	MAL2	0.614
BTG3	0	1.18763131915925	0.685	0.14	0	cancer cell	BTG3	0.545
